"Respondent","DevEnviron1","DevEnviron2","DevEnviron3","DevEnviron4","DevEnviron5","DevEnviron6","DevEnviron7","DevEnviron8","DevEnviron9","DevEnviron10","DevEnviron11","DevEnviron12","DevEnviron13","DevEnviron14","DevEnviron15","DevEnviron16","DevEnviron17","DevEnviron18","DevEnviron19","DevEnviron20","DevEnviron21","DevEnviron22"
262,"Android Studio","Atom","Eclipse","IntelliJ","NetBeans","Notepad++","PyCharm","Sublime Text","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,"Atom","Eclipse","Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"IntelliJ","RubyMine","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,"Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,"IPython / Jupyter","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"Atom","IPython / Jupyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"Notepad++","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Notepad++","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"Atom","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Android Studio","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"Emacs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"IPython / Jupyter","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,"Eclipse","IPython / Jupyter","Notepad++","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"IntelliJ","IPython / Jupyter","PyCharm","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,"IPython / Jupyter","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,"Notepad++","PyCharm","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,"IPython / Jupyter","Notepad++","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,"Notepad++","PHPStorm","Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,"IntelliJ","IPython / Jupyter","RStudio","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,"Atom","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,"Eclipse","IPython / Jupyter","Notepad++","PyCharm","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"PHPStorm","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,"Atom","IntelliJ","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"Atom","PHPStorm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"Sublime Text","Vim","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,"RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"Android Studio","Atom","Emacs","IntelliJ","IPython / Jupyter","NetBeans","Notepad++","PHPStorm","PyCharm","RStudio","Sublime Text","TextMate","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA
523,"Atom","IPython / Jupyter","Notepad++","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"PyCharm","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,"IntelliJ","IPython / Jupyter","Notepad++","PyCharm","RStudio","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,"Atom","Eclipse","IntelliJ","IPython / Jupyter","Notepad++","PyCharm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,"Atom","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,"IPython / Jupyter","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,"Atom","Emacs","PyCharm","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"Notepad++","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,"Notepad++","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,"Eclipse","IPython / Jupyter","Notepad++","PyCharm","Vim","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,"Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,"Android Studio","IntelliJ","PyCharm","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,"Notepad++","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,"Android Studio","Atom","Notepad++","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,"Android Studio","Atom","Sublime Text","Visual Studio","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,"Android Studio","Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,"Android Studio","Atom","Coda","IntelliJ","Notepad++","Sublime Text","Vim","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,"Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,"IntelliJ","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,"Emacs","IPython / Jupyter","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,"Eclipse","TextMate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"IPython / Jupyter","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,"Eclipse","NetBeans","Notepad++","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,"Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669,"IPython / Jupyter","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"IntelliJ","Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,"IPython / Jupyter","Vim","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,"Atom","IntelliJ","PHPStorm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,"Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"Android Studio","Atom","Eclipse","Sublime Text","Visual Studio","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,"Atom","IPython / Jupyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,"IntelliJ","IPython / Jupyter","Notepad++","PyCharm","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,"Eclipse","IntelliJ","RStudio","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"Android Studio","Atom","IPython / Jupyter","Vim","Visual Studio","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"IntelliJ","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"IPython / Jupyter","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"Atom","RStudio","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,"Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"Notepad++","RStudio","Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,"Emacs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"IntelliJ","PyCharm","RubyMine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,"Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"IntelliJ","IPython / Jupyter","Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,"PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"IPython / Jupyter","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"Android Studio","IntelliJ","NetBeans","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"Atom","Eclipse","RStudio","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"Eclipse","IPython / Jupyter","Notepad++","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,"Emacs","IPython / Jupyter","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"Android Studio","PHPStorm","Sublime Text","Vim","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,"IntelliJ","IPython / Jupyter","PyCharm","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"Android Studio","IPython / Jupyter","Notepad++","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,"IntelliJ","PyCharm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,"Eclipse","Emacs","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"Atom","IPython / Jupyter","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,"Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,"Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,"Notepad++","PyCharm","Vim","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,"Emacs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,"IntelliJ","IPython / Jupyter","Notepad++","PyCharm","RStudio","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,"IntelliJ","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,"Emacs","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,"Android Studio","Atom","Vim","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,"Atom","Coda","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,"PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,"Atom","IntelliJ","IPython / Jupyter","Notepad++","PyCharm","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,"Atom","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,"Notepad++","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,"Atom","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,"Android Studio","PyCharm","Vim","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,"PyCharm","Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,"Eclipse","IntelliJ","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,"IPython / Jupyter","PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,"Atom","Notepad++","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,"Eclipse","Notepad++","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
