"Respondent","OpSys"
2069,"MacOS"
2071,"MacOS"
2076,"Windows"
2086,"Windows"
2089,"MacOS"
2093,"Linux-based"
2100,"Windows"
2103,"Linux-based"
2105,"MacOS"
2113,"MacOS"
2127,"Windows"
2130,"MacOS"
2136,"Windows"
2138,"MacOS"
2159,"Windows"
2160,"Windows"
2177,"Windows"
2179,"Windows"
2183,"Windows"
2184,"Linux-based"
2185,"Linux-based"
2187,"Windows"
2193,"Linux-based"
2194,"Linux-based"
2200,"Windows"
2202,"Windows"
2205,"Linux-based"
2220,"MacOS"
2234,"Linux-based"
2243,"MacOS"
2246,"Windows"
2250,"Windows"
2252,"MacOS"
2253,"Windows"
2262,"Linux-based"
2283,"MacOS"
2284,"MacOS"
2288,"Windows"
2292,"MacOS"
2296,"Windows"
2297,"Linux-based"
2301,"MacOS"
2302,"Linux-based"
2315,"MacOS"
2316,"Linux-based"
2323,"Windows"
2324,"Linux-based"
2325,"Windows"
2329,"Windows"
2332,"Linux-based"
2333,"MacOS"
2344,"Windows"
2349,"Linux-based"
2351,"Windows"
2367,"MacOS"
2375,"Windows"
2398,"Windows"
2399,"Windows"
2402,"Windows"
2408,"Linux-based"
2412,"MacOS"
2414,"MacOS"
2426,"Windows"
2434,"Linux-based"
2437,"Linux-based"
2441,"Windows"
2457,"MacOS"
2472,"Windows"
2489,"MacOS"
2490,"Windows"
2493,"MacOS"
2494,"Windows"
2520,"Windows"
2535,"Linux-based"
2540,"Windows"
2554,"Linux-based"
2560,"Linux-based"
2571,"Windows"
2581,"Windows"
2583,"MacOS"
2591,"Windows"
2600,"Windows"
2609,"Linux-based"
2610,"Windows"
2624,"Linux-based"
2647,"Linux-based"
2651,"Linux-based"
2663,"Linux-based"
2665,"MacOS"
2671,"Windows"
2682,"Windows"
2683,"Windows"
2699,"Linux-based"
2704,"Windows"
2711,"Linux-based"
2714,"MacOS"
2722,"Linux-based"
2728,"Windows"
2729,"MacOS"
2734,"MacOS"
2737,"Linux-based"
2738,"Windows"
2742,"Linux-based"
2756,"Windows"
2758,"Linux-based"
2770,"Linux-based"
2771,"Windows"
2784,"MacOS"
2788,"MacOS"
2794,"Windows"
2796,"Windows"
2801,"Linux-based"
2803,"Linux-based"
2806,"Linux-based"
2808,"Windows"
2811,"Linux-based"
2814,"Windows"
2817,"Windows"
2819,"Linux-based"
2823,"Linux-based"
2827,"Linux-based"
2830,"Windows"
2845,"MacOS"
2853,"Windows"
2856,"Windows"
2869,"Linux-based"
2873,"Windows"
2878,"Linux-based"
2880,"MacOS"
2884,"MacOS"
2890,"MacOS"
2893,"MacOS"
2895,"Linux-based"
2898,"Linux-based"
2903,"MacOS"
2906,"Linux-based"
2918,"Windows"
2941,"Windows"
2946,"Windows"
2956,"Windows"
2963,"Windows"
2964,"Windows"
2971,"MacOS"
2980,"Windows"
2981,"Linux-based"
3010,"Windows"
3019,"Linux-based"
3040,"Windows"
3059,"Windows"
3074,"Windows"
3075,"Windows"
3082,"Windows"
3086,"Windows"
3096,"Windows"
3097,"Windows"
3100,"MacOS"
3105,"MacOS"
3109,"Linux-based"
3111,"Linux-based"
3115,"MacOS"
3134,"Windows"
3135,"MacOS"
3138,"Linux-based"
3143,"Linux-based"
3144,"Windows"
3148,"Windows"
3154,"MacOS"
3171,"MacOS"
3178,"Windows"
3183,"Windows"
3188,"Linux-based"
3193,"MacOS"
3199,NA
3201,"Windows"
3202,"Windows"
3204,"Linux-based"
3205,"Windows"
3228,"Linux-based"
3233,"Linux-based"
3237,"MacOS"
3238,"MacOS"
3242,"Linux-based"
3244,"Linux-based"
3249,"Windows"
3259,"MacOS"
3271,"Linux-based"
3277,"MacOS"
3278,"MacOS"
3300,"Windows"
3310,"Windows"
3317,"Linux-based"
3320,"Windows"
3330,"MacOS"
3340,"Windows"
3349,"MacOS"
3352,"Linux-based"
3353,"MacOS"
3357,"Windows"
3366,"Linux-based"
3367,"Linux-based"
3369,"MacOS"
3386,"Linux-based"
3389,"Linux-based"
3396,"Windows"
3402,"Linux-based"
3404,"Linux-based"
3415,"Windows"
3418,"Linux-based"
3422,"Windows"
3426,"Windows"
3428,"Windows"
3434,"Windows"
3438,"Linux-based"
3439,"Windows"
3440,"MacOS"
3441,"Linux-based"
3456,"Windows"
3461,"Windows"
3479,"Windows"
3485,"Windows"
3487,"MacOS"
3504,"Linux-based"
3505,"Linux-based"
3506,"Windows"
3517,"Windows"
3527,"Windows"
3541,"MacOS"
3556,"Windows"
3562,"Windows"
3563,"Windows"
3565,"MacOS"
3571,"MacOS"
3575,"Windows"
3580,"Windows"
3581,"Linux-based"
3582,"Linux-based"
3585,"Windows"
3587,"Linux-based"
3591,"Windows"
3595,"Windows"
3608,"MacOS"
3624,"MacOS"
3627,"Windows"
3640,"Linux-based"
3655,"Windows"
3657,"Linux-based"
3660,"Linux-based"
3664,"Linux-based"
3673,"MacOS"
3688,"Windows"
3689,"Linux-based"
3695,"Linux-based"
3701,"MacOS"
3702,"Windows"
3705,"Windows"
3707,"Windows"
3710,"Windows"
3713,"Linux-based"
3715,"Linux-based"
3717,"Windows"
3726,"Windows"
3729,"Linux-based"
3731,"Windows"
3733,"Windows"
3747,"Windows"
3756,"MacOS"
3758,"Windows"
3766,"Linux-based"
3776,"MacOS"
3781,"Windows"
3787,"Linux-based"
3790,"MacOS"
3797,"Windows"
3809,"Linux-based"
3816,"Windows"
3818,"Windows"
3819,"MacOS"
3822,"Windows"
3824,"Linux-based"
3830,"Linux-based"
3845,"Windows"
3856,"MacOS"
3863,"Windows"
3873,"Linux-based"
3874,"Linux-based"
3881,"Windows"
3887,"Linux-based"
3888,"Windows"
3889,"Windows"
3899,"Linux-based"
3909,"Linux-based"
3911,"Linux-based"
3913,"Windows"
3916,"MacOS"
3934,"Windows"
3935,"Windows"
3936,"Windows"
3937,"Windows"
3941,"MacOS"
3943,"Windows"
3962,"Windows"
3964,"Windows"
3965,"Windows"
3970,"Windows"
3973,"Linux-based"
3974,"MacOS"
4000,"Linux-based"
4006,"Windows"
4010,"Linux-based"
4013,"Windows"
4025,"MacOS"
4034,"Linux-based"
4044,"Linux-based"
4064,"Windows"
4065,"Linux-based"
4086,"Windows"
4087,"Linux-based"
4088,"Windows"
4091,"Windows"
4092,"Windows"
4100,"Windows"
4102,"Linux-based"
4115,"Linux-based"
4116,"MacOS"
4123,"Windows"
4125,"Linux-based"
4136,"Linux-based"
4139,"Windows"
4159,"MacOS"
4177,"Linux-based"
4178,"Linux-based"
4184,"MacOS"
4188,"MacOS"
4194,"MacOS"
4200,"Windows"
4211,"MacOS"
4215,"Windows"
4239,"Windows"
4245,"Linux-based"
4253,"Windows"
4259,"Linux-based"
4263,"Linux-based"
4266,"MacOS"
4277,"Windows"
4292,"Windows"
4302,"Windows"
4312,"MacOS"
4329,"Windows"
4343,"Windows"
4345,"Windows"
4350,"Linux-based"
4351,"Windows"
4356,"MacOS"
4358,"Linux-based"
4360,"Linux-based"
4381,"Windows"
4401,NA
4408,"Windows"
4412,"Windows"
4420,"MacOS"
4425,"Windows"
4426,"Windows"
4428,"Windows"
4431,"Windows"
4432,"MacOS"
4440,"Linux-based"
4446,"Windows"
4454,"Windows"
4459,"Linux-based"
4489,"Linux-based"
4491,"Windows"
4492,"MacOS"
4497,"Linux-based"
4501,"Linux-based"
4503,"Windows"
4510,"Linux-based"
4521,"Linux-based"
4529,"Linux-based"
4538,"MacOS"
4539,"Windows"
4544,"MacOS"
4547,"Windows"
4549,"Windows"
4551,"Windows"
4556,"Linux-based"
4561,"Windows"
4569,"Linux-based"
4583,"Windows"
4586,"Windows"
4596,"Windows"
4605,"Linux-based"
4620,"Linux-based"
4622,"Linux-based"
4627,"Windows"
4639,"MacOS"
4641,"Windows"
4642,"Windows"
4647,"Windows"
4651,"Windows"
4654,"Linux-based"
4659,"Linux-based"
4673,"MacOS"
4674,"Linux-based"
4680,"Windows"
4681,"Linux-based"
4682,"Windows"
4685,"Windows"
4695,"Linux-based"
4697,"Linux-based"
4698,"Linux-based"
4702,"Windows"
4715,"Linux-based"
4734,"Linux-based"
4737,"Windows"
4738,"Windows"
4749,"MacOS"
4758,"Windows"
4765,"Windows"
4770,"MacOS"
4782,"MacOS"
4792,"Linux-based"
4796,"Linux-based"
4797,"MacOS"
4802,"MacOS"
4818,"Windows"
4832,"Linux-based"
4836,"MacOS"
4875,"Linux-based"
4876,"Windows"
4877,"Windows"
4879,"Linux-based"
4886,"MacOS"
4888,"Windows"
4895,"Windows"
4896,"Windows"
4898,"Windows"
4918,"Windows"
4919,"Windows"
4923,"MacOS"
4924,"Windows"
4931,"Linux-based"
4953,"Windows"
4954,"Windows"
4961,"Windows"
4987,"Linux-based"
4993,"Linux-based"
4996,"Windows"
5015,"Windows"
5026,"MacOS"
5032,"Windows"
5037,"MacOS"
5038,"Windows"
5045,"Windows"
5055,"Windows"
5064,"Linux-based"
5066,"Linux-based"
5081,"Linux-based"
5087,"MacOS"
5090,"Windows"
5095,"Linux-based"
5109,"Windows"
5110,"Windows"
5116,"MacOS"
5128,"Windows"
5130,"Linux-based"
5136,"Windows"
5138,"Linux-based"
5146,"Linux-based"
5151,"Windows"
5152,"Windows"
5163,"Linux-based"
5172,"Linux-based"
5186,"Windows"
5194,"Linux-based"
5199,"Linux-based"
5212,"Windows"
5219,"Windows"
5221,"Linux-based"
5234,"Windows"
5240,"MacOS"
5251,"MacOS"
5255,"Windows"
5263,"Linux-based"
5270,"Linux-based"
5283,"Linux-based"
5288,"Windows"
5289,"Windows"
5294,"Windows"
5341,"Linux-based"
5350,"Linux-based"
5351,"MacOS"
5352,"Linux-based"
5354,"MacOS"
5362,"MacOS"
5364,"Windows"
5369,"Linux-based"
5374,"Linux-based"
5381,"Windows"
5384,"Linux-based"
5388,"Linux-based"
5394,"Windows"
5407,"Windows"
5417,NA
5420,"MacOS"
5426,"Linux-based"
5431,"Linux-based"
5436,"Windows"
5443,"Linux-based"
5444,"Windows"
5460,"Windows"
5477,"MacOS"
5481,"MacOS"
5482,"Windows"
5492,"MacOS"
5505,"Windows"
5516,"Linux-based"
5517,"Linux-based"
5525,"Linux-based"
5529,"Windows"
5535,"Windows"
5537,"Linux-based"
5550,"Windows"
5552,"Linux-based"
5555,"Windows"
5558,"Windows"
5562,"Windows"
5564,"Windows"
5569,"Linux-based"
5571,"Windows"
5576,"Linux-based"
5583,"Windows"
5617,NA
5626,"MacOS"
5627,"MacOS"
5628,"Linux-based"
5631,"Windows"
5633,"Windows"
5635,"Linux-based"
5637,"MacOS"
5638,"Linux-based"
5639,"Windows"
5641,"Windows"
5646,"Linux-based"
5658,"Windows"
5672,"MacOS"
5685,"Windows"
5689,"Linux-based"
5692,"MacOS"
5706,"Windows"
5709,"Linux-based"
5711,"Windows"
5718,"Windows"
5722,"Windows"
5725,"Windows"
5729,"Windows"
5741,"Windows"
5743,"Linux-based"
5752,"Linux-based"
5757,"Windows"
5758,"Windows"
5760,"Windows"
5763,"Linux-based"
5787,"MacOS"
5792,"Linux-based"
5799,"Windows"
5800,"Windows"
5802,"MacOS"
5804,"Windows"
5806,"Windows"
5814,"Windows"
5820,"MacOS"
5826,"Linux-based"
5841,"Windows"
5842,"Windows"
5846,"Linux-based"
5864,"Windows"
5868,"MacOS"
5881,"MacOS"
5889,"Windows"
5893,"Windows"
5899,"Windows"
5900,"Linux-based"
5902,"Windows"
5906,"Linux-based"
5912,"Linux-based"
5915,"MacOS"
5920,"Windows"
5931,"Windows"
5932,"MacOS"
5938,"Windows"
5939,"Windows"
5969,"Linux-based"
5977,"Windows"
5978,"Linux-based"
5980,"Linux-based"
5981,"Windows"
5986,"Windows"
5998,"MacOS"
6002,"Windows"
6005,"MacOS"
6010,"Linux-based"
6019,"Windows"
6026,"Windows"
6028,"MacOS"
6041,"MacOS"
6057,"MacOS"
6061,"MacOS"
6062,"Windows"
6069,"Windows"
6073,"Windows"
6074,"MacOS"
6075,NA
6077,"MacOS"
6090,"MacOS"
6095,"MacOS"
6099,"Windows"
6108,"Windows"
6116,"Linux-based"
6128,"Windows"
6129,"Linux-based"
6135,"Linux-based"
6160,"Windows"
6172,"Windows"
6180,"MacOS"
6190,"Windows"
6201,"Windows"
6211,"Windows"
6212,"MacOS"
6225,"Windows"
6227,"Linux-based"
6241,"Windows"
6252,"Windows"
6255,"Linux-based"
6265,"Windows"
6271,"Linux-based"
6273,"MacOS"
6274,"Windows"
6281,"Linux-based"
6311,"Windows"
6316,"Linux-based"
6317,"Linux-based"
6333,"MacOS"
6336,"Linux-based"
6347,"Windows"
6363,"Linux-based"
6367,"Windows"
6373,"Windows"
6385,"Windows"
6401,"Windows"
6403,"Windows"
6406,"Windows"
6409,"Windows"
6414,"MacOS"
6416,"Linux-based"
6422,"Linux-based"
6429,"Linux-based"
6431,"Linux-based"
6435,"Linux-based"
6443,"MacOS"
6453,"Windows"
6463,"Linux-based"
6488,"Linux-based"
6500,"Windows"
6515,"Linux-based"
6516,"Linux-based"
6521,"Linux-based"
6526,"Windows"
6529,"Linux-based"
6540,"Linux-based"
6541,"Windows"
6543,"MacOS"
6546,"MacOS"
6551,"Linux-based"
6552,"Linux-based"
6553,"Linux-based"
6558,"Linux-based"
6564,"MacOS"
6565,"MacOS"
6578,"Windows"
6580,"MacOS"
6582,"MacOS"
6610,"Windows"
6624,"Windows"
6632,"Linux-based"
6647,"Linux-based"
6651,"Windows"
6656,"Linux-based"
6670,"MacOS"
6686,"MacOS"
6692,"Linux-based"
6701,"Windows"
6702,"MacOS"
6707,"Windows"
6711,"Windows"
6720,"Windows"
6722,"MacOS"
6725,"Windows"
6734,NA
6737,"MacOS"
6743,"Windows"
6756,"Windows"
6760,"Linux-based"
6763,"MacOS"
6782,"Linux-based"
6795,"Windows"
6797,"Windows"
6800,"Windows"
6802,"Windows"
6803,"Windows"
6805,"Windows"
6812,"MacOS"
6823,"Linux-based"
6824,"Windows"
6833,"Windows"
6834,"Windows"
6844,"Windows"
6847,"Linux-based"
6855,"Windows"
6862,"MacOS"
6863,NA
6876,"Windows"
6877,"Windows"
6895,"MacOS"
6910,"Windows"
6911,"MacOS"
6913,"Windows"
6927,"MacOS"
6939,"MacOS"
6942,"MacOS"
6946,"MacOS"
6956,"Linux-based"
6957,"Windows"
6958,"Windows"
6959,"Linux-based"
6963,"Linux-based"
6969,"Windows"
6972,"Windows"
6977,"Windows"
6984,"MacOS"
6989,"MacOS"
6991,"Linux-based"
7007,"Windows"
7017,"MacOS"
7023,"Linux-based"
7038,"Windows"
7041,"Linux-based"
7061,"Windows"
7062,"Windows"
7063,"Windows"
7068,"Linux-based"
7069,"Windows"
7072,"Windows"
7079,"MacOS"
7086,"MacOS"
7101,"Windows"
7104,"Windows"
7105,"MacOS"
7121,"MacOS"
7133,"Linux-based"
7137,"Linux-based"
7138,"MacOS"
7150,"Windows"
7156,NA
7157,"Windows"
7168,"Windows"
7176,"Linux-based"
7187,"Windows"
7188,"Windows"
7191,"MacOS"
7196,"Windows"
7197,"Windows"
7202,"Windows"
7213,"MacOS"
7221,"Windows"
7226,"Linux-based"
7236,"Windows"
7239,"Linux-based"
7247,"Windows"
7248,"Windows"
7249,"Windows"
7250,"Windows"
7256,"MacOS"
7259,"Windows"
7265,"Windows"
7267,"Windows"
7274,"MacOS"
7306,"Windows"
7315,"MacOS"
7319,"Windows"
7326,"Linux-based"
7328,"Linux-based"
7331,"Windows"
7336,NA
7341,"Windows"
7343,"Windows"
7345,"Windows"
7359,"Linux-based"
7364,"Windows"
7369,"Windows"
7371,"Windows"
7374,"Windows"
7386,"Linux-based"
7387,"Linux-based"
7388,"Windows"
7396,"Windows"
7399,"Windows"
7400,"Linux-based"
7425,"MacOS"
7426,"MacOS"
7433,"MacOS"
7442,"MacOS"
7444,"Linux-based"
7448,"MacOS"
7483,"MacOS"
7484,"MacOS"
7489,"Linux-based"
7491,"Windows"
7492,"Linux-based"
7494,"MacOS"
7496,"MacOS"
7497,"Linux-based"
7500,"Windows"
7516,"Linux-based"
7518,"Windows"
7523,"Linux-based"
7536,"Windows"
7538,"Linux-based"
7548,"Windows"
7553,"Windows"
7568,"Linux-based"
7570,"Windows"
7596,"Windows"
7606,"Windows"
7623,"Windows"
7624,"MacOS"
7626,"MacOS"
7640,"Linux-based"
7645,"Windows"
7650,"Linux-based"
7654,"Windows"
7666,"Windows"
7677,"MacOS"
7685,"MacOS"
7689,"Windows"
7691,"Windows"
7704,"Windows"
7711,"MacOS"
7715,"Linux-based"
7718,"Windows"
7736,"Windows"
7742,"Windows"
7751,"Linux-based"
7757,"Linux-based"
7765,"MacOS"
7771,"Windows"
7781,"Linux-based"
7783,"MacOS"
7789,"MacOS"
7797,"MacOS"
7802,NA
7807,"Windows"
7809,"Windows"
7810,"Windows"
7841,"MacOS"
7844,"Windows"
7846,"Linux-based"
7854,"MacOS"
7856,"Linux-based"
7866,"MacOS"
7867,"Linux-based"
7871,"MacOS"
7874,"MacOS"
7877,"Windows"
7882,"Windows"
7885,"Windows"
7886,"Windows"
7899,"Linux-based"
7903,"Linux-based"
7904,"MacOS"
7905,"Windows"
7915,"Windows"
7920,"Windows"
7921,"MacOS"
7922,"Windows"
7925,"Windows"
7951,"Windows"
7960,"Windows"
7963,"MacOS"
7967,"Windows"
7976,"Windows"
7986,"Windows"
7992,"MacOS"
7996,"Windows"
8006,"Linux-based"
8010,"Linux-based"
8015,"Windows"
8017,"Windows"
8018,"Linux-based"
8039,"Windows"
8042,"Linux-based"
8046,"Linux-based"
8049,"Windows"
8050,"Windows"
8056,"Linux-based"
8058,"Windows"
8070,"MacOS"
8071,"Windows"
8078,"MacOS"
8083,"Windows"
8085,"MacOS"
8087,"Windows"
8088,"Windows"
8090,"Linux-based"
8097,"MacOS"
8103,"MacOS"
8104,"Linux-based"
8105,"Linux-based"
8112,"MacOS"
8116,"Windows"
8118,"Linux-based"
8126,"MacOS"
8131,"Linux-based"
8132,"Linux-based"
8135,"Windows"
8136,"MacOS"
8142,"Windows"
8146,"MacOS"
8155,"Linux-based"
8159,"Windows"
8161,"Linux-based"
8162,"Linux-based"
8164,"Linux-based"
8173,"Linux-based"
8175,"Windows"
8177,"Windows"
8179,"MacOS"
8184,"Linux-based"
8186,"Windows"
8192,"Windows"
8203,"Linux-based"
8213,"Windows"
8215,"Windows"
8216,"Linux-based"
8222,"Windows"
8230,"Windows"
8231,"Linux-based"
8239,"Windows"
8252,"Windows"
8260,"Windows"
8267,"Windows"
8275,"Windows"
8303,"MacOS"
8313,"MacOS"
8315,"Linux-based"
8318,"Windows"
8325,"MacOS"
8328,"MacOS"
8329,"Windows"
8339,"MacOS"
8341,"Linux-based"
8343,"Windows"
8350,"Linux-based"
8363,"Linux-based"
8367,"Windows"
8369,"Linux-based"
8380,"Linux-based"
8382,"Linux-based"
8386,"Linux-based"
8388,"MacOS"
8394,"Windows"
8398,"Windows"
8408,"Linux-based"
8417,"Windows"
8419,"Windows"
8420,"Linux-based"
8424,"Windows"
8430,"Linux-based"
8444,"Windows"
8454,"Linux-based"
8458,"Windows"
8468,"Windows"
8487,"Windows"
8489,"MacOS"
8491,"Windows"
8493,"Windows"
8506,"Linux-based"
8517,"Windows"
8522,"Windows"
8530,"MacOS"
8532,"Windows"
8543,"Linux-based"
8548,"MacOS"
8549,"Windows"
8550,"Windows"
8553,"Windows"
8554,"Windows"
8556,"Windows"
8584,"Windows"
8602,"Windows"
8609,"MacOS"
8616,"Windows"
8617,"Windows"
8626,"MacOS"
8636,"Linux-based"
8661,"MacOS"
8673,"MacOS"
8682,"Linux-based"
8683,"Windows"
8684,"MacOS"
8688,"Linux-based"
8690,"Windows"
8701,"MacOS"
8703,"BSD"
8708,"Windows"
8715,"MacOS"
8718,"Windows"
8727,"Windows"
8734,"MacOS"
8738,"Linux-based"
8741,"Linux-based"
8749,"Linux-based"
8762,"Linux-based"
8768,"Windows"
8769,"Linux-based"
8771,"Windows"
8804,"Linux-based"
8811,"Windows"
8815,"Windows"
8817,"MacOS"
8822,"MacOS"
8831,"Windows"
8842,"Windows"
8863,"Windows"
8864,"Linux-based"
8867,"Windows"
8872,"Windows"
8876,"Linux-based"
8877,"Linux-based"
8885,"Linux-based"
8886,"Linux-based"
8888,"MacOS"
8891,"Windows"
8895,"Linux-based"
8908,"Windows"
8918,"Windows"
8919,"Windows"
8939,"Linux-based"
8944,"MacOS"
8955,"Windows"
8972,"Windows"
8976,"MacOS"
8980,"Linux-based"
8984,"MacOS"
8990,"Windows"
9006,"Windows"
9011,"Windows"
9012,"Windows"
9031,"Windows"
9042,"Windows"
9054,"MacOS"
9065,"Windows"
9070,"Linux-based"
9073,NA
9074,"MacOS"
9076,"Linux-based"
9079,"Linux-based"
9092,"Windows"
9114,"MacOS"
9117,"Windows"
9119,"Windows"
9136,"Windows"
9137,"Linux-based"
9141,"MacOS"
9149,"MacOS"
9170,"Windows"
9173,"Windows"
9174,"Linux-based"
9187,"MacOS"
9198,NA
9199,"Linux-based"
9208,"Windows"
9212,"Windows"
9221,"Linux-based"
9222,"Linux-based"
9228,"Windows"
9229,"Linux-based"
9234,"Windows"
9254,"Linux-based"
9259,"Windows"
9266,"Linux-based"
9268,"Linux-based"
9272,"MacOS"
9279,"Linux-based"
9282,"MacOS"
9287,"Windows"
9300,"Windows"
9313,"Windows"
9314,"Windows"
9320,"Linux-based"
9327,"MacOS"
9333,"Windows"
9338,"MacOS"
9342,"MacOS"
9343,"Windows"
9352,"Windows"
9355,"Windows"
9358,"Windows"
9364,"Linux-based"
9368,"Windows"
9369,"Windows"
9374,"Windows"
9375,"Linux-based"
9377,"Linux-based"
9380,"Windows"
9381,"Linux-based"
9385,"Windows"
9387,"Linux-based"
9400,NA
9403,"Windows"
9404,"Linux-based"
9409,"Linux-based"
9413,"Windows"
