"Respondent","Platform1","Platform2","Platform3","Platform4","Platform5","Platform6","Platform7","Platform8","Platform9","Platform10","Platform11","Platform12","Platform13","Platform14","Platform15","Platform16"
282,"Docker","iOS","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"Android","Arduino","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Android","iOS","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"AWS","Docker","Heroku","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"AWS","Docker","Linux","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"AWS","Docker","Kubernetes","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Android","Arduino","AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","iOS","Kubernetes","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack",NA,NA
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,"Google Cloud Platform","IBM Cloud or Watson","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"Android","AWS","Docker","Google Cloud Platform","Heroku","iOS","Linux","MacOS","Microsoft Azure","Slack","WordPress",NA,NA,NA,NA,NA
370,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,"AWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,"AWS","Docker","Google Cloud Platform","Heroku","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,"Arduino","Heroku","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
411,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"AWS","Docker","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,"Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"AWS","Docker","Google Cloud Platform","MacOS","Microsoft Azure","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"Android","Arduino","Docker","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,"Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"Heroku","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"AWS","Docker","Heroku","IBM Cloud or Watson","iOS","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
523,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"Google Cloud Platform","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,"Docker","Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,"Android","AWS","Docker","Google Cloud Platform","Heroku","iOS","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA
556,"Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,"Arduino","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"AWS","Docker","Google Cloud Platform","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,"Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,"Android","Docker","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,"AWS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,"AWS","Docker","Kubernetes","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,"Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,"Android","Arduino","iOS","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
627,"Android","Arduino","AWS","Docker","Google Cloud Platform","iOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA
637,"Android","Arduino","iOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,"Android","AWS","MacOS","Slack","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,"AWS","Docker","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,"Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"Docker","Kubernetes","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,"Android","AWS","Google Cloud Platform","Linux","MacOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
666,"Linux","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669,"AWS","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,"Android","Arduino","Docker","Google Cloud Platform","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA
683,"AWS","Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,"AWS","Docker","Linux","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"Android","iOS","MacOS","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,"Docker","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"Arduino","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,"Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,"AWS","Docker","iOS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"Google Cloud Platform","Kubernetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"Google Cloud Platform","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"Windows","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"Heroku","Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"AWS","IBM Cloud or Watson","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,"MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"Docker","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,"Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"Docker","Kubernetes","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"Android","Arduino","AWS","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"Android","Arduino","AWS","Google Cloud Platform","Linux","Microsoft Azure","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
874,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"Android","Docker","Google Cloud Platform","Heroku","Kubernetes","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
895,"Arduino","AWS","Docker","MacOS","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"Android","Arduino","AWS","Docker","Google Cloud Platform","Heroku","Kubernetes","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA
900,"Android","Linux","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"Docker","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,"Arduino","Microsoft Azure","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,"Heroku","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,"Google Cloud Platform","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,"AWS","Docker","Kubernetes","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,"AWS","Linux","Slack","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,"Android","iOS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,"Android","Arduino","AWS","Docker","Kubernetes","Linux","MacOS","Microsoft Azure","Slack","Windows","WordPress",NA,NA,NA,NA,NA
994,"Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,"AWS","Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,"Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,"AWS","Docker","Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,"AWS","Docker","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,"Android","AWS","Docker","Google Cloud Platform","iOS","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1038,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,"AWS","Linux","MacOS","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,"AWS","Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,"Docker","Linux","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,"Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,"Android","AWS","Docker","iOS","Kubernetes","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1126,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,"Google Cloud Platform","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,"Android","Docker","Google Cloud Platform","IBM Cloud or Watson","Linux","Microsoft Azure","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
1146,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,"AWS","Docker","Google Cloud Platform","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,"Android","Arduino","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,"AWS","Google Cloud Platform","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1185,"Arduino","Heroku","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,"Android","Google Cloud Platform","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,"AWS","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,"Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,"Android","AWS","iOS","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1229,"Android","AWS","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246,"Android","Arduino","iOS","Linux","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1272,"Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286,"AWS","Docker","Google Cloud Platform","Linux","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1288,"AWS","Docker","Kubernetes","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
1289,"Google Cloud Platform","iOS","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1295,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306,"Android","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,"Arduino","Docker","Kubernetes","Linux","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
1329,"Docker","Kubernetes","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,"Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1334,"Android","AWS","Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1347,"Linux","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1349,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1351,"Arduino","AWS","Heroku","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361,"AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1367,"Android","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1376,"Android","AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,"Android","Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,"Docker","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,"Android","AWS","Docker","iOS","Kubernetes","Linux","MacOS","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA
1425,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,"Arduino","Docker","Google Cloud Platform","Linux","MacOS","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA
1432,"Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,"AWS","Docker","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,"Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,"AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1485,"AWS","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1487,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
