"Respondent","WebFrame1","WebFrame2","WebFrame3","WebFrame4","WebFrame5","WebFrame6","WebFrame7","WebFrame8","WebFrame9","WebFrame10","WebFrame11","WebFrame12"
129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,"Angular/Angular.js","ASP.NET","Django","Flask","jQuery","Laravel","React.js",NA,NA,NA,NA,NA
175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Django","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Angular/Angular.js","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"jQuery","Laravel","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"jQuery","Laravel","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
248,"Flask","jQuery","React.js","Spring",NA,NA,NA,NA,NA,NA,NA,NA
251,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"jQuery","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"Angular/Angular.js","ASP.NET","Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA
264,"Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Angular/Angular.js","jQuery","React.js","Ruby on Rails","Spring","Other(s):",NA,NA,NA,NA,NA,NA
278,"ASP.NET","Laravel","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"Django","Flask","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Angular/Angular.js","ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"Angular/Angular.js","Drupal","Express","Flask","jQuery","React.js","Vue.js",NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Django","Express","Flask","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"Angular/Angular.js","Django","Express","Flask","jQuery","React.js",NA,NA,NA,NA,NA,NA
370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,"ASP.NET","jQuery","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
381,"ASP.NET","Django","Flask","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA
385,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"jQuery","Laravel","React.js","Vue.js","Other(s):",NA,NA,NA,NA,NA,NA,NA
433,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"Drupal","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"Angular/Angular.js","React.js","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"ASP.NET","Django","Express","Flask","Laravel","Spring",NA,NA,NA,NA,NA,NA
523,"Django","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"jQuery","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"Express","Flask","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
542,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,"Angular/Angular.js","jQuery","React.js","Spring",NA,NA,NA,NA,NA,NA,NA,NA
556,"Express","Flask","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA,NA
563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,"Angular/Angular.js","Django","Flask","jQuery","React.js","Spring","Vue.js",NA,NA,NA,NA,NA
600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,"Django","jQuery","Laravel","React.js",NA,NA,NA,NA,NA,NA,NA,NA
627,"jQuery","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,"Angular/Angular.js","ASP.NET","Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA
641,"Angular/Angular.js","Django","Express","jQuery","Laravel","Spring",NA,NA,NA,NA,NA,NA
645,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,"React.js","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,"jQuery","Laravel","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
666,"ASP.NET","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,"Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,"Angular/Angular.js","Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
684,"Angular/Angular.js","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,"jQuery","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"Angular/Angular.js","jQuery","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
723,"Express","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"ASP.NET","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,"Angular/Angular.js","ASP.NET","Express","jQuery","React.js","Spring","Vue.js",NA,NA,NA,NA,NA
755,"Flask","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"ASP.NET","Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"Angular/Angular.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"Flask","jQuery","Ruby on Rails","Spring",NA,NA,NA,NA,NA,NA,NA,NA
828,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Angular/Angular.js","Ruby on Rails","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"Angular/Angular.js","Express","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"ASP.NET","Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"jQuery","Laravel","Ruby on Rails","Spring",NA,NA,NA,NA,NA,NA,NA,NA
874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"Angular/Angular.js","Express","jQuery","Laravel","React.js","Ruby on Rails","Vue.js",NA,NA,NA,NA,NA
895,"Angular/Angular.js","Django","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"Express","Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
900,"Angular/Angular.js","ASP.NET","Django","Express","Flask","jQuery","Vue.js",NA,NA,NA,NA,NA
904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,"Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,"Express",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,"Angular/Angular.js","ASP.NET","Django","Express","Flask","jQuery","Laravel","React.js","Ruby on Rails",NA,NA,NA
994,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,"Django","Flask","React.js","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA
1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,"Angular/Angular.js","Django","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,"React.js","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,"Django","Express","jQuery","React.js","Vue.js",NA,NA,NA,NA,NA,NA,NA
1038,"Django","Express","jQuery","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA
1058,"Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,"Angular/Angular.js","ASP.NET","Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA
1079,"Angular/Angular.js","React.js","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,"Angular/Angular.js","ASP.NET","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,"Angular/Angular.js","jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,"ASP.NET","Django","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,"Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,"ASP.NET","Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,"Angular/Angular.js","ASP.NET","Express","jQuery","Laravel","React.js","Ruby on Rails","Spring","Vue.js",NA,NA,NA
1146,"jQuery","Laravel","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,"jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1185,"Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,"Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,"Angular/Angular.js","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1229,"jQuery","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246,"Drupal","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,"Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1272,"Angular/Angular.js","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286,"Flask","jQuery","React.js","Spring","Other(s):",NA,NA,NA,NA,NA,NA,NA
1288,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289,"ASP.NET","Django","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1295,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1329,"Django","React.js","Spring","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
1330,"jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,"Django","Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1334,"Angular/Angular.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1349,"Angular/Angular.js","ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1351,"Django","Flask","jQuery","Ruby on Rails",NA,NA,NA,NA,NA,NA,NA,NA
1361,"Angular/Angular.js","ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1367,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1376,"Angular/Angular.js","ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,"Angular/Angular.js","jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,"ASP.NET","Django","jQuery","Spring",NA,NA,NA,NA,NA,NA,NA,NA
1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,"Flask","React.js","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,"Django","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1487,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1509,"Angular/Angular.js","ASP.NET","Django","jQuery","Other(s):",NA,NA,NA,NA,NA,NA,NA
1510,"Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1511,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,"React.js","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1534,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,"Angular/Angular.js","jQuery","React.js","Ruby on Rails","Spring","Other(s):",NA,NA,NA,NA,NA,NA
1541,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1552,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,"jQuery","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,"ASP.NET","Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,"Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,"Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,"jQuery","Laravel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1599,"ASP.NET","Django","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1617,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1639,"Express","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
1649,"jQuery","React.js","Vue.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,"Angular/Angular.js","jQuery","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA
1659,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1666,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1671,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1674,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,"Angular/Angular.js","Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1677,"Angular/Angular.js","ASP.NET","Django","Express","jQuery","Spring",NA,NA,NA,NA,NA,NA
1696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1728,"Django","jQuery","Laravel","React.js","Spring",NA,NA,NA,NA,NA,NA,NA
1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1774,"jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1803,"React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1825,"Angular/Angular.js","Django","Flask","jQuery",NA,NA,NA,NA,NA,NA,NA,NA
1829,"Angular/Angular.js","ASP.NET","Django","Drupal","jQuery","React.js","Vue.js","Other(s):",NA,NA,NA,NA
1830,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,"ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,"Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,"Angular/Angular.js","ASP.NET","Express","jQuery","React.js",NA,NA,NA,NA,NA,NA,NA
1851,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,"Angular/Angular.js","ASP.NET","Django","jQuery","React.js","Ruby on Rails","Spring","Vue.js",NA,NA,NA,NA
1867,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,"Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,"Angular/Angular.js","Django","Express","Flask","jQuery","Laravel","React.js",NA,NA,NA,NA,NA
1896,"Django","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,"Drupal","jQuery","Laravel","React.js","Vue.js",NA,NA,NA,NA,NA,NA,NA
1910,"Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Angular/Angular.js","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Angular/Angular.js","Flask","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"ASP.NET","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Django",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Express","React.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Django","Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Express","jQuery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Flask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Angular/Angular.js","ASP.NET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
