"Respondent","Language1","Language2","Language3","Language4","Language5","Language6","Language7","Language8","Language9","Language10","Language11","Language12","Language13","Language14","Language15","Language16","Language17","Language18","Language19","Language20","Language21","Language22","Language23","Language24","Language25"
76,"PHP","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","PHP","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"C#","HTML/CSS","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"C","C++","Java","Python","R","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"Bash/Shell/PowerShell","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"C","C++","HTML/CSS","Java","JavaScript","Kotlin","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Bash/Shell/PowerShell","C#","HTML/CSS","JavaScript","Python","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Scala","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"Elixir","HTML/CSS","JavaScript","Python","Ruby","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"C++","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"JavaScript","PHP","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Assembly","C++","Python","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Bash/Shell/PowerShell","C","Python","Scala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"Bash/Shell/PowerShell","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,"Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","PHP","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,"Assembly","Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"Bash/Shell/PowerShell","C","C++","Java","JavaScript","Kotlin","Objective-C","Python","Rust","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"C#","Python","R","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"C++","HTML/CSS","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Bash/Shell/PowerShell","JavaScript","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"HTML/CSS","R","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Bash/Shell/PowerShell","C","C++","C#","HTML/CSS","Java","JavaScript","Objective-C","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"HTML/CSS","Java","JavaScript","Python","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"HTML/CSS","JavaScript","Objective-C","PHP","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,"HTML/CSS","Java","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,"Assembly","C","C++","C#","HTML/CSS","JavaScript","Python","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"C#","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"Bash/Shell/PowerShell","HTML/CSS","Java","JavaScript","PHP","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"C++","C#","HTML/CSS","Java","JavaScript","PHP","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,"HTML/CSS","Java","JavaScript","Python","SQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Bash/Shell/PowerShell","C++","Clojure","Erlang","HTML/CSS","Java","JavaScript","Ruby","Scala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,"Bash/Shell/PowerShell","C#","HTML/CSS","JavaScript","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"C#","HTML/CSS","Java","JavaScript","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,"Python","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"HTML/CSS","PHP","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"Assembly","C","C++","Java","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"C#","HTML/CSS","JavaScript","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"Bash/Shell/PowerShell","Python","Ruby","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Bash/Shell/PowerShell","C#","HTML/CSS","JavaScript","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"Assembly","Bash/Shell/PowerShell","C","C++","C#","HTML/CSS","Java","JavaScript","PHP","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"Python","Rust","Scala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"Bash/Shell/PowerShell","C","C++","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Bash/Shell/PowerShell","Dart","Go","HTML/CSS","Java","JavaScript","Python","Rust","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,"C","C++","HTML/CSS","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,"Java","JavaScript","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"Bash/Shell/PowerShell","HTML/CSS","Java","JavaScript","Objective-C","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,"R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,"Bash/Shell/PowerShell","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,"HTML/CSS","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,"HTML/CSS","JavaScript","PHP","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,"C#","Go","HTML/CSS","Java","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,"HTML/CSS","Java","JavaScript","Python","R","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,"C","C++","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","PHP","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,"Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"HTML/CSS","JavaScript","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"Bash/Shell/PowerShell","C++","C#","HTML/CSS","JavaScript","PHP","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"Bash/Shell/PowerShell","HTML/CSS","Java","JavaScript","PHP","Ruby","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"Assembly","C++","F#","HTML/CSS","PHP","Python","R","Rust","TypeScript","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"Python","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,"C#","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"Bash/Shell/PowerShell","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,"Bash/Shell/PowerShell","C#","HTML/CSS","Java","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,"Assembly","Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","Python","R","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,"Bash/Shell/PowerShell","HTML/CSS","Java","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,"Assembly","Bash/Shell/PowerShell","C","C++","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,"C","C++","Python","R","SQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"Assembly","Bash/Shell/PowerShell","C","C++","Erlang","R","Rust","Scala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,"Assembly","Bash/Shell/PowerShell","C","HTML/CSS","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,"Bash/Shell/PowerShell","Go","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,"C#","HTML/CSS","JavaScript","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,"Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,"Bash/Shell/PowerShell","HTML/CSS","Java","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,"C++","C#","HTML/CSS","Java","JavaScript","PHP","Python","SQL","Swift","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,"Assembly","Bash/Shell/PowerShell","C++","C#","Go","HTML/CSS","JavaScript","Objective-C","PHP","Python","Ruby","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,"C++","C#","HTML/CSS","Java","JavaScript","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,"C#","HTML/CSS","Java","JavaScript","Kotlin","PHP","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,"C++","C#","HTML/CSS","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,"C#","HTML/CSS","JavaScript","SQL","VBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,"Clojure","HTML/CSS","Java","JavaScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,"C++","Python","R","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,"Bash/Shell/PowerShell","HTML/CSS","Java","JavaScript","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,"HTML/CSS","Java","JavaScript","PHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669,"Bash/Shell/PowerShell","C","Python","Rust","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"Java","JavaScript","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,"Bash/Shell/PowerShell","C","C++","C#","F#","HTML/CSS","Java","JavaScript","Python","R","Ruby","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,"HTML/CSS","JavaScript","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,"C#","HTML/CSS","JavaScript","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","PHP","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"Bash/Shell/PowerShell","C++","C#","HTML/CSS","Java","JavaScript","Objective-C","PHP","Python","SQL","Swift",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,"JavaScript","Python","R","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"C#","HTML/CSS","JavaScript","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,"Bash/Shell/PowerShell","C#","HTML/CSS","Java","JavaScript","Python","R","Ruby","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"Bash/Shell/PowerShell","C++","HTML/CSS","Java","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"Bash/Shell/PowerShell","Go","Java","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"C","C++","C#","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"HTML/CSS","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"HTML/CSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"Bash/Shell/PowerShell","C","HTML/CSS","JavaScript","Python","R","Ruby","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,"SQL","VBA","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"C#","HTML/CSS","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,"Assembly","Bash/Shell/PowerShell","C","C++","Java","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,"Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"Bash/Shell/PowerShell","C","C++","C#","JavaScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"Assembly","Bash/Shell/PowerShell","C","C++","C#","Erlang","Go","HTML/CSS","Java","JavaScript","Python","Ruby","Rust","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,"Bash/Shell/PowerShell","C#","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"Bash/Shell/PowerShell","Java","Python","Ruby","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,"Java","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Bash/Shell/PowerShell","C#","HTML/CSS","JavaScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"Bash/Shell/PowerShell","C++","HTML/CSS","JavaScript","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"C","Java","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"C#","HTML/CSS","Java","JavaScript","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"Assembly","Bash/Shell/PowerShell","C","C++","HTML/CSS","Java","JavaScript","PHP","Python","Ruby","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,"Bash/Shell/PowerShell","Go","JavaScript","Python","Rust","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"Java","JavaScript","PHP","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,"Go","HTML/CSS","JavaScript","Python","SQL","TypeScript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"Bash/Shell/PowerShell","C++","C#","HTML/CSS","JavaScript","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,"Bash/Shell/PowerShell","C#","HTML/CSS","Java","JavaScript","Python","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,"Bash/Shell/PowerShell","C++","R","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"Bash/Shell/PowerShell","Python","R","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,"C++","HTML/CSS","JavaScript","R","Ruby","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,"C","C++","C#","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,"Bash/Shell/PowerShell","HTML/CSS","JavaScript","Python","R","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,"Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,"Bash/Shell/PowerShell","C","Scala","SQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,"C++","Go","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
