"Respondent","Age","Gender","Ethnicity","Country","UndergradMajor","JobSat"
202,45,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
206,33,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Very satisfied"
228,25,"Man","Black or of African descent","France","Computer science, computer engineering, or software engineering",NA
238,31,"Man",NA,"India","Computer science, computer engineering, or software engineering","Very dissatisfied"
248,30,"Man","White or of European descent","Austria","Computer science, computer engineering, or software engineering","Slightly satisfied"
251,20,"Man","Black or of African descent","Zimbabwe",NA,NA
254,41,"Man","White or of European descent","Australia","Information systems, information technology, or system administration","Slightly satisfied"
260,NA,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
262,24,"Man","Black or of African descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
264,NA,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
273,29,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very dissatisfied"
278,31,"Man","White or of European descent","United States","Web development or web design","Very satisfied"
281,40,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
282,NA,"Man","White or of European descent","Germany",NA,"Neither satisfied nor dissatisfied"
290,30,"Man","White or of European descent","Egypt","A natural science (ex. biology, chemistry, physics)",NA
299,25,"Man","South Asian","Pakistan","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
310,32,"Man","White or of European descent","Latvia","Computer science, computer engineering, or software engineering","Slightly satisfied"
312,31,"Man","White or of European descent","United States","Mathematics or statistics","Very satisfied"
323,48,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
325,49,"Man","White or of European descent","Croatia","Computer science, computer engineering, or software engineering","Slightly satisfied"
333,33,"Man","Black or of African descent;White or of European descent","Russian Federation","Mathematics or statistics","Slightly satisfied"
334,30,"Man","Middle Eastern","Israel","Computer science, computer engineering, or software engineering","Slightly satisfied"
337,31,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
339,16,"Man","White or of European descent;Biracial;Multiracial","Germany",NA,"Slightly dissatisfied"
349,26,"Man","South Asian","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
359,37,"Man","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
363,37,"Man","White or of European descent","Poland",NA,"Slightly satisfied"
370,32,"Man","White or of European descent","Italy","A social science (ex. anthropology, psychology, political science)","Very satisfied"
371,30,"Man","White or of European descent","Ukraine","Computer science, computer engineering, or software engineering","Very satisfied"
374,26,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Very dissatisfied"
377,37,"Man","White or of European descent","Germany",NA,"Neither satisfied nor dissatisfied"
381,22,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering",NA
385,NA,"Man","White or of European descent","Bulgaria",NA,"Very satisfied"
411,33,"Man","Multiracial","Brazil","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
413,35,"Man","White or of European descent","New Zealand",NA,"Very satisfied"
433,20,"Woman","White or of European descent","United States","Computer science, computer engineering, or software engineering",NA
466,23,"Man","White or of European descent","Russian Federation","Web development or web design","Slightly satisfied"
487,24,"Man","White or of European descent","Germany",NA,NA
495,23,"Man","Black or of African descent","Ghana","Mathematics or statistics",NA
499,27,"Woman","Black or of African descent","Mauritius","Computer science, computer engineering, or software engineering","Very dissatisfied"
517,25,"Non-binary, genderqueer, or gender non-conforming",NA,"United States","Another engineering discipline (ex. civil, electrical, mechanical)",NA
523,21,"Man","White or of European descent","Netherlands",NA,NA
524,31,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
525,31,"Man","White or of European descent","Russian Federation","Another engineering discipline (ex. civil, electrical, mechanical)","Neither satisfied nor dissatisfied"
539,40,"Man","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
542,30,"Woman","East Asian","Canada","A natural science (ex. biology, chemistry, physics)","Very satisfied"
551,30,"Man","South Asian","Denmark","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
556,30,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
563,35,"Man","White or of European descent","United Kingdom","Mathematics or statistics","Slightly satisfied"
564,35,"Man","White or of European descent","Canada","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
571,30,"Woman","East Asian;White or of European descent;Biracial","France","Mathematics or statistics","Very satisfied"
573,55,"Man","White or of European descent","Denmark","Information systems, information technology, or system administration","Very satisfied"
575,28,"Man","East Asian","China","Web development or web design","Slightly dissatisfied"
589,24,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
596,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
600,15,"Man","White or of European descent","United States",NA,NA
602,31,"Man","White or of European descent","Estonia","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
627,28,"Man","South Asian","India","Information systems, information technology, or system administration","Very satisfied"
637,NA,"Man","White or of European descent","Portugal","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
641,NA,NA,"East Asian","South Korea","Information systems, information technology, or system administration","Slightly satisfied"
645,30,"Man","East Asian","Singapore","Computer science, computer engineering, or software engineering","Slightly satisfied"
648,58,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
654,37,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
656,43,"Man","White or of European descent","Canada","Mathematics or statistics",NA
657,37,"Man","White or of European descent","Netherlands","Computer science, computer engineering, or software engineering","Very satisfied"
659,28,"Woman","White or of European descent","France","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
664,30,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
666,33,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Neither satisfied nor dissatisfied"
669,23,"Man","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
678,31,"Man","White or of European descent","Ukraine","Computer science, computer engineering, or software engineering","Slightly satisfied"
681,24,"Man","White or of European descent","Italy","Computer science, computer engineering, or software engineering","Very dissatisfied"
683,23,"Man","White or of European descent","United States","I never declared a major","Very satisfied"
684,27,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
693,33,"Man","White or of European descent","United States","Web development or web design","Very satisfied"
719,NA,"Man","Middle Eastern","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
723,24,"Man","White or of European descent","France","Mathematics or statistics","Very satisfied"
725,49,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
728,22,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
747,40,"Man","White or of European descent","United Kingdom","Mathematics or statistics","Very satisfied"
755,37,"Man","White or of European descent","United States","Web development or web design","Slightly satisfied"
771,27,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
772,25,"Man","East Asian","Singapore","Computer science, computer engineering, or software engineering",NA
776,31,"Man","Middle Eastern","Canada","A natural science (ex. biology, chemistry, physics)","Very dissatisfied"
784,24,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
793,28,"Man",NA,"United Kingdom","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
794,64,"Man","White or of European descent","United Kingdom","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
795,22,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Slightly satisfied"
803,39,"Man",NA,"Turkey","Computer science, computer engineering, or software engineering","Slightly satisfied"
806,31,"Man","South Asian","Canada","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
811,24,"Man","White or of European descent","Germany",NA,NA
817,23,"Man","White or of European descent","Germany",NA,"Very satisfied"
828,28,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Very dissatisfied"
835,36,"Man","White or of European descent","Czech Republic","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
838,31,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
845,44,"Man","White or of European descent","South Africa","Computer science, computer engineering, or software engineering","Very satisfied"
846,22,"Man","South Asian;White or of European descent;Multiracial","United States","Computer science, computer engineering, or software engineering","Very satisfied"
847,NA,"Man",NA,"India","Mathematics or statistics","Neither satisfied nor dissatisfied"
854,46,NA,NA,"Australia","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
871,23,"Woman",NA,"Pakistan","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
874,25,"Man","White or of European descent","United States","Mathematics or statistics","Very satisfied"
885,23,"Man","Black or of African descent","Nigeria",NA,"Very satisfied"
895,NA,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly satisfied"
899,28,"Man","White or of European descent","Canada",NA,"Very satisfied"
900,26,"Man","White or of European descent","Serbia","Computer science, computer engineering, or software engineering","Slightly satisfied"
904,40,"Man","White or of European descent","Ireland","Computer science, computer engineering, or software engineering","Slightly satisfied"
907,25,"Man","White or of European descent","Russian Federation","Computer science, computer engineering, or software engineering","Slightly satisfied"
922,28,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
941,20,"Man","White or of European descent","Sweden","Information systems, information technology, or system administration",NA
945,27,"Man","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
964,30,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly dissatisfied"
972,27,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
984,25,"Man","East Asian","Nepal","Computer science, computer engineering, or software engineering","Very satisfied"
990,25,"Man","White or of European descent","United States","Mathematics or statistics",NA
992,20,"Man","Middle Eastern;White or of European descent","Canada",NA,NA
993,36,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Very satisfied"
994,33,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
997,25,"Woman","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very dissatisfied"
1002,20,"Man","East Asian;South Asian","India","Computer science, computer engineering, or software engineering",NA
1018,26,"Man","White or of European descent","Sweden","Another engineering discipline (ex. civil, electrical, mechanical)",NA
1022,24,"Man","White or of European descent","Italy","Computer science, computer engineering, or software engineering","Very satisfied"
1034,26,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
1037,31,"Man","White or of European descent","Japan","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
1038,21,"Non-binary, genderqueer, or gender non-conforming","White or of European descent","United States",NA,"Slightly dissatisfied"
1058,NA,"Man",NA,"Spain","Computer science, computer engineering, or software engineering","Very satisfied"
1063,31,"Man","Hispanic or Latino/Latina","Mexico","Computer science, computer engineering, or software engineering","Slightly satisfied"
1074,28,"Man","Middle Eastern","Turkey","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1079,24,"Man",NA,"India","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1099,33,"Man","White or of European descent","Australia","A natural science (ex. biology, chemistry, physics)","Neither satisfied nor dissatisfied"
1109,20,"Man","Hispanic or Latino/Latina","Colombia","Web development or web design","Slightly dissatisfied"
1115,17.5,"Man","East Asian","Iran","Computer science, computer engineering, or software engineering",NA
1125,19,"Man",NA,"Finland",NA,"Very dissatisfied"
1126,NA,"Man","White or of European descent","United Kingdom","Mathematics or statistics","Slightly satisfied"
1127,28,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
1137,34,"Man","Native American, Pacific Islander, or Indigenous Australian","Australia",NA,"Neither satisfied nor dissatisfied"
1143,24,"Man","Black or of African descent","Kenya","Computer science, computer engineering, or software engineering",NA
1146,23,"Man","Middle Eastern;White or of European descent","Iran","Computer science, computer engineering, or software engineering","Very dissatisfied"
1148,30,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Very satisfied"
1157,23,"Man",NA,"Australia","Computer science, computer engineering, or software engineering",NA
1158,37,"Man","Hispanic or Latino/Latina","Colombia","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
1168,NA,"Man","East Asian","Indonesia",NA,NA
1169,36,"Man","White or of European descent","Canada","I never declared a major","Slightly satisfied"
1177,23,"Man","White or of European descent","Hungary","Mathematics or statistics","Slightly satisfied"
1185,27,"Man","East Asian","Malaysia","Computer science, computer engineering, or software engineering","Slightly satisfied"
1189,25,"Woman","East Asian","Pakistan","Computer science, computer engineering, or software engineering",NA
1208,24,"Woman","White or of European descent","United States",NA,"Slightly satisfied"
1209,31,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
1215,24,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Slightly satisfied"
1217,63,"Man",NA,"Netherlands",NA,"Very satisfied"
1229,34,"Man","Hispanic or Latino/Latina;White or of European descent","Italy","Computer science, computer engineering, or software engineering","Slightly satisfied"
1246,37,"Man","White or of European descent","Poland","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
1250,26,"Man","Middle Eastern","Turkey","A business discipline (ex. accounting, finance, marketing)",NA
1266,33,"Man","White or of European descent","Portugal","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1268,48,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1272,25,"Man",NA,"Bangladesh","Computer science, computer engineering, or software engineering",NA
1286,36,"Man","White or of European descent","Norway","Computer science, computer engineering, or software engineering","Very dissatisfied"
1288,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
1289,35,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
1295,23,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1300,28,"Man","East Asian","United States","Mathematics or statistics","Slightly satisfied"
1304,30,"Man","White or of European descent","France",NA,"Slightly dissatisfied"
1306,NA,"Man","Black or of African descent","Ghana","Computer science, computer engineering, or software engineering",NA
1308,49,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Neither satisfied nor dissatisfied"
1329,33,"Man","White or of European descent","Netherlands","I never declared a major","Slightly satisfied"
1330,26,"Man","White or of European descent","United States","Web development or web design","Slightly satisfied"
1333,22,"Woman","Hispanic or Latino/Latina;White or of European descent","Brazil",NA,"Slightly satisfied"
1334,29,"Man",NA,"Argentina","Web development or web design","Very satisfied"
1347,26,"Woman","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
1349,22,"Man","South Asian","Philippines","Information systems, information technology, or system administration","Slightly satisfied"
1351,23,"Man","East Asian","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1361,24,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Slightly satisfied"
1367,29,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1376,36,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
1385,44,"Man","Biracial","France","Computer science, computer engineering, or software engineering","Slightly satisfied"
1386,31,"Man","White or of European descent","Poland","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
1391,27,"Man","Black or of African descent","Kenya","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1402,32,"Man","White or of European descent","Germany","A business discipline (ex. accounting, finance, marketing)","Very dissatisfied"
1405,28,"Man","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1423,31,"Man","White or of European descent","Netherlands","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
1425,23,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
1428,37,"Woman","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Very satisfied"
1429,35,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1432,54,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Very satisfied"
1435,43,"Man","Hispanic or Latino/Latina","Ireland","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1451,30,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
1457,48,"Man","South Asian","United States","Mathematics or statistics","Slightly dissatisfied"
1466,33,"Woman;Non-binary, genderqueer, or gender non-conforming",NA,"Israel","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
1468,NA,"Man",NA,"Greece","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1469,24,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Slightly satisfied"
1476,NA,"Man","White or of European descent","Russian Federation","Mathematics or statistics","Slightly satisfied"
1482,34,"Man","White or of European descent","Belarus","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
1485,25,"Woman","East Asian","United States","Mathematics or statistics","Slightly satisfied"
1487,35,"Man","White or of European descent","Panama",NA,"Slightly satisfied"
1489,25,NA,NA,"United States","Computer science, computer engineering, or software engineering","Very satisfied"
1499,38,"Woman","East Asian","United States","A social science (ex. anthropology, psychology, political science)","Very satisfied"
1509,25,"Man","White or of European descent","Luxembourg","Web development or web design","Very satisfied"
1510,24,"Man","White or of European descent","Brazil","Another engineering discipline (ex. civil, electrical, mechanical)",NA
1511,34,"Man","Middle Eastern;White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
1526,NA,"Man","Middle Eastern","Ukraine",NA,"Slightly dissatisfied"
1533,22,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
1534,23,"Man","White or of European descent","United Kingdom","I never declared a major","Slightly satisfied"
1535,29,"Man",NA,"Germany","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1541,32,"Man","White or of European descent","Sweden","Computer science, computer engineering, or software engineering","Slightly satisfied"
1542,42,"Man","White or of European descent","Czech Republic","Computer science, computer engineering, or software engineering","Very satisfied"
1552,38,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1557,30,"Woman","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
1560,31,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1575,21,"Man","South Asian","India","Another engineering discipline (ex. civil, electrical, mechanical)",NA
1578,23,"Man","White or of European descent","Bosnia and Herzegovina",NA,"Neither satisfied nor dissatisfied"
1580,27,"Man","East Asian;White or of European descent;Multiracial","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
1586,24,"Man","Hispanic or Latino/Latina","United States","I never declared a major",NA
1587,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Very satisfied"
1590,23,"Man","Middle Eastern","Syrian Arab Republic","Information systems, information technology, or system administration","Slightly satisfied"
1596,NA,"Man","East Asian","Bangladesh","Computer science, computer engineering, or software engineering","Very satisfied"
1599,63,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
1605,27,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Very satisfied"
1612,26,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1617,54,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1619,33,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
1625,23,"Man","White or of European descent","United States",NA,"Very satisfied"
1634,22,"Man","South Asian","India","Another engineering discipline (ex. civil, electrical, mechanical)",NA
1639,31,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
1649,19,"Man","White or of European descent","Sweden",NA,NA
1650,32,"Man","East Asian","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
1659,37,"Man","White or of European descent","United States",NA,"Very satisfied"
1666,25,"Man","White or of European descent","Finland","Another engineering discipline (ex. civil, electrical, mechanical)","Neither satisfied nor dissatisfied"
1671,33,"Man","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1672,NA,"Man",NA,"South Africa","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
1674,34,"Man","South Asian;White or of European descent;Biracial","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
1675,34,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1677,25,"Man","White or of European descent","Ukraine","Computer science, computer engineering, or software engineering","Slightly satisfied"
1696,34,"Man","White or of European descent","Lithuania","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1705,25,"Man","White or of European descent","Netherlands","Computer science, computer engineering, or software engineering",NA
1728,35,"Man","Hispanic or Latino/Latina","Colombia","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1732,28,"Man","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
1746,NA,"Man","White or of European descent","Malta","Computer science, computer engineering, or software engineering",NA
1765,NA,NA,NA,"India","Computer science, computer engineering, or software engineering","Slightly satisfied"
1774,25,"Man","Hispanic or Latino/Latina;White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
1794,NA,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Neither satisfied nor dissatisfied"
1803,25,"Man","Hispanic or Latino/Latina;White or of European descent","Denmark","Computer science, computer engineering, or software engineering","Very satisfied"
1825,38,"Woman","South Asian","Germany",NA,"Slightly satisfied"
1829,44,"Man","White or of European descent","United States",NA,"Very satisfied"
1830,28,"Man","White or of European descent","Russian Federation","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
1844,44,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Very satisfied"
1845,26,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1846,25,"Man","White or of European descent","Finland","Computer science, computer engineering, or software engineering","Slightly satisfied"
1850,40,"Man","Middle Eastern","Jordan","Computer science, computer engineering, or software engineering","Slightly satisfied"
1851,38,"Man","White or of European descent","Israel","Computer science, computer engineering, or software engineering","Slightly satisfied"
1860,50,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Slightly dissatisfied"
1866,NA,"Man","White or of European descent","Brazil",NA,"Very satisfied"
1867,39,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1877,27,"Man","Hispanic or Latino/Latina","Mexico","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
1879,43,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Very satisfied"
1880,39,"Man","South Asian","India","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
1891,31,"Woman","White or of European descent","Denmark","A humanities discipline (ex. literature, history, philosophy)",NA
1895,27,"Man","White or of European descent","South Africa","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
1896,23,"Man","South Asian","Nepal","Computer science, computer engineering, or software engineering","Slightly satisfied"
1902,35,"Man","White or of European descent","Italy","Computer science, computer engineering, or software engineering","Slightly satisfied"
1908,35,"Man",NA,"United Kingdom","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
1910,41,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Very satisfied"
1916,27,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1918,41,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1921,30,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
1933,35,"Man","White or of European descent","Italy","Mathematics or statistics","Slightly satisfied"
1939,35,"Man","White or of European descent","Canada","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
1953,41,"Man","Hispanic or Latino/Latina","Ecuador","Computer science, computer engineering, or software engineering","Very dissatisfied"
1955,25,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
1960,28,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering",NA
1964,25,"Man","Hispanic or Latino/Latina","Chile","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
1965,19,"Man","White or of European descent","Switzerland","Mathematics or statistics",NA
